sa,donor_id,PVALB,SST,VIP,GAD1,GAD2,Hurst
1,12984.0,6.174755444426248,6.391142332959948,3.5655635450710874,4.761193559301558,4.665370029768065,1.2435081591229027
2,12832.0,5.886096392767432,6.4506999445068764,4.306907749454578,4.799196851387528,4.874371322829822,1.2145360370722744
7,12832.0,4.182248616462814,6.601331860125806,3.7756093853501302,4.577564057362754,4.3568178731529805,1.170376608349158
3,12832.0,5.588579158283448,6.406323920264776,3.719322335641526,4.823835909226066,4.6380732577850035,1.2185515707472432
9,12832.0,3.44248428092918,6.689934938591349,4.079860806215923,4.2202208972537685,4.387165507961701,1.1463093696852393
4,12832.0,5.688934973871243,6.188625536919274,3.195190877848908,4.6479220291080745,4.07795494024627,1.2173891626114663
6,12832.0,4.867550175626575,5.979307362564425,3.7471354699976915,4.3878916663570555,4.526615729857236,1.237143092566403
8,12832.0,3.324984666602655,7.021463925637929,3.471825019318328,4.254181461541013,4.486492031573476,1.1637793610215519
10,12832.0,4.829404711024861,6.448081936431036,3.416459430878054,4.323528165938921,4.047659742440282,1.2371040938744318
11,12984.0,4.233827869951492,6.484323258740542,3.6502852658388987,4.385997718658702,4.35066859230489,1.236822747405983
5,12832.0,4.663675877404149,6.490132345990848,3.778349684420167,4.436359023483826,4.2561967599970805,1.2308923346912346
