sa,sa_bin
12,3
14,3
0,1
4,1
6,2
3,1
5,1
7,2
2,1
1,1
15,3
16,3
11,2
13,3
8,2
10,2
9,2
12,3
14,3
0,1
4,1
6,2
3,1
5,1
7,2
2,1
1,1
15,3
16,3
11,2
13,3
8,2
10,2
9,2
