marker,age,value,RSP,Tel,PedHy,p3,p2,p1,M,PPH,PH,PMH,MH
SST,P4,raw,1.79,4.33,2.81,4.56,1.88,1.84,6.77,2.35,3.85,3.26,5.55
SST,P4,log,0.84,2.11,1.49,2.19,0.91,0.88,2.76,1.23,1.94,1.7,2.47
SST,P14,raw,5.07,5.62,4.96,7.49,2.93,4.43,8.1,2.49,7.12,5.06,7.89
SST,P14,log,2.34,2.49,2.31,2.91,1.55,2.15,3.02,1.32,2.83,2.34,2.98
SST,P28,raw,2.99,3.28,3.59,3.99,1.74,2.2,3.76,1.05,1.86,1.8,3.42
SST,P28,log,1.58,1.71,1.84,3,0.8,1.14,1.91,0.07,0.89,0.85,1.77
SST,P56,raw,3.51,4.05,3.53,4.68,2.29,2.63,3.26,3.24,2.81,1.39,
SST,P56,log,1.81,2.02,1.82,2.23,1.19,1.39,1.7,1.69,1.49,0.47,
SST,P56,raw,3.63,3.4,4.21,3.94,1.91,2.03,3.4,1.84,1.95,2.1,2.65
SST,P56,log,1.86,1.76,2.07,1.98,0.93,1.02,1.76,0.88,0.96,1.07,1.4
SST,18M,raw,2.67,2.69,2.73,2.59,0.91,1.3,2.82,1.02,1.33,1.17,2.1
SST,18M,log,1.47,1.43,1.45,1.38,-0.13,0.38,1.5,0.03,0.41,0.23,1.07
SST,18M,raw,2.92,2.62,3.48,3.17,1.65,1.39,2.97,1.26,1.19,1.28,2.08
SST,18M,log,1.55,1.39,1.8,1.66,0.73,0.48,1.57,0.33,0.25,0.35,1.06
SST,24M,raw,1.82,2.24,2.08,2.21,1.03,0.82,1.59,0.83,0.89,0.9,1.85
SST,24M,log,0.86,1.16,1.06,1.14,0.05,-0.28,0.67,-0.26,-0.16,-0.16,0.89
PVALB,P4,raw,0.03,0.04,0.18,0.82,0.15,0.03,0.04,0.15,0.15,0.16,0.16
PVALB,P4,log,-5.21,-4.49,-2.47,-0.28,-2.73,-5.2,-4.65,-2.78,-2.72,-2.66,-2.66
PVALB,P14,raw,0.19,,1.27,5.23,1.21,1.64,3.18,11.12,8.24,5.58,5.37
PVALB,P14,log,-2.39,,0.35,2.39,0.27,0.72,1.67,3.48,3.04,2.48,2.42
PVALB,P28,raw,0.76,2.46,2.17,5.95,2.13,4.4,5.85,10.35,8.17,5.55,4.71
PVALB,P28,log,-0.4,1.3,1.12,2.57,1.09,2.14,2.55,3.37,3.03,2.47,2.24
PVALB,P56,raw,1.82,4.64,4.24,7.96,3.86,9.14,11.35,16.26,12.29,8.65,7.02
PVALB,P56,log,0.86,2.21,2.08,2.99,1.95,3.19,3.51,4.02,3.62,3.11,2.81
PVALB,P56,raw,2.81,5.53,5.54,9.4,4.91,9.92,12.57,16.73,12.25,10.04,8.46
PVALB,P56,log,1.49,2.47,2.46,3.23,2.3,3.31,3.65,4.06,3.62,3.33,3.08
PVALB,P56,raw,1.79,3.63,3.62,8.7,4.82,7.16,9.2,15.35,12.29,9.77,8.84
PVALB,P56,log,0.84,1.86,1.85,3.12,2.27,2.84,3.2,3.94,3.62,3.29,3.14
PVALB,18M,raw,0.5,2.57,2.29,5.54,3.41,5,6.18,11.51,8.75,6.33,5.95
PVALB,18M,log,-0.99,1.36,1.19,2.47,1.77,2.32,2.63,3.53,3.13,2.66,2.57
PVALB,18M,raw,0.41,2.31,2.14,5.28,3.28,3.77,4.51,11.96,8.62,6.52,6.61
PVALB,18M,log,-1.27,1.21,1.1,2.5,1.71,1.92,2.17,3.58,3.11,2.71,2.73
PVALB,24M,raw,0.94,2.55,1.8,5.82,4.93,4.13,6.27,10.75,8.72,6.31,5.76
PVALB,24M,log,-0.08,1.35,0.85,2.54,2.3,22.05,2.65,3.43,3.12,2.66,2.53
PVALB,24M,raw,1.2,2.45,1.87,5.9,5.12,3.48,5.52,10.22,7.07,6.19,5.57
PVALB,24M,log,0.27,1.29,0.9,2.56,2.36,1.8,2.46,3.35,2.82,2.73,2.48
PVALB,32M,raw,0.52,2.49,2.32,5.88,4.18,4.06,5.23,8.92,6.44,4.19,4.15
PVALB,32M,log,-0.95,1.31,1.21,2.56,2.06,2.02,2.39,3.16,2.69,2.07,2.05
MBP,P4,raw,0.81,0.84,,1.05,0.78,1.75,1.55,3.85,8.26,9.77,8.41
MBP,P4,log,-0.31,-0.26,,0.07,-0.36,0.81,0.63,1.95,3.05,3.29,3.07
MBP,P14,raw,9.42,7.86,9.54,10.56,8.93,9.22,9.22,9.05,10.83,8.76,13.51
MBP,P14,log,3.24,2.97,3.25,3.4,3.16,3.2,3.2,3.18,3.44,3.13,3.76
MBP,P28,raw,11.76,7.6,11.63,12,10.2,11.55,10.91,8.74,15.03,15.2,16.8
