sub,ses,task,run,space,desc,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,num_censored_volumes,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal,coregDice,coregPearson,coregCoverage,normDice,normPearson,normCoverage,bids_name,aor,aqi,dummy_trs,dvars_nstd,dvars_std,dvars_vstd,efc,fber,fd_mean,fd_num,fd_perc,fwhm_avg,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_bg_k,summary_bg_mad,summary_bg_mean,summary_bg_median,summary_bg_n,summary_bg_p05,summary_bg_p95,summary_bg_stdv,summary_fg_k,summary_fg_mad,summary_fg_mean,summary_fg_median,summary_fg_n,summary_fg_p05,summary_fg_p95,summary_fg_stdv,tsnr
CBPD0183,1,rest,1,MNI152NLin6Asym,preproc,0.6030831609565215,0.06380203278688525,0.178135,337.67717945228696,51.27484010940714,61,0,0.8279627655207387,0.4267086985535784,0.9477831882062476,0.9421415153047029,0.9892312437007386,0.9340661978254088,0.9168180846921332,0.9900610583446404,sub-CBPD0183_ses-01_task-rest_run-01_bold,0.01713858695652174,0.019613143858695645,0,65.52037742519124,1.1675732171584707,1.096789337540984,0.5182012997271647,629.1658325195312,0.6411693619157901,30,16.304347826086953,3.1937683333333333,2.930335,3.2534349999999996,3.397535,0.0282716,-0.004966109059751035,0.04721810668706894,184,96,96,75,2.4514634159941404,2.0,2.0,2.0,2.0,27.15397532175207,55.21887969970703,371.7649841308594,214.10870361328125,447384.0,168.29348754882812,1219.357940673828,481.7965087890625,1.3842840104564995,2007.189697265625,6136.21728515625,5679.4619140625,153632.0,3319.074182128906,10688.69624023437,2316.75634765625,21.020999908447266
CBPD0015,1,rest,1,MNI152NLin6Asym,preproc,0.4480366397466662,0.06897615032786884,0.204842,286.0220568534105,41.81848567902747,27,0,0.8789364472855675,0.3803919523699385,0.9496626225208143,0.9440027993222224,0.9919279752855772,0.935008170344157,0.9179005747143516,0.9886787652645862,sub-CBPD0015_ses-01_task-rest_run-01_bold,0.0189134,0.012543375866666666,0,55.0421334465772,1.3808064676510063,1.1650344928859058,0.52158573922164,699.2319946289062,0.43356904033581,12,8.0,3.134243466007519,2.72502,3.4045202029252177,3.2731901950973388,0.030238499999999998,-0.012074423022568226,0.04881327226758003,150,96,96,75,2.5727555381068834,2.0,2.0,1.9999998807907104,1.9999998807907104,42.69893168403309,44.98214721679688,350.1065368652344,211.4600067138672,434641.0,169.3800048828125,1000.106689453125,493.5845642089844,0.961882785075232,2022.0421142578125,6332.03759765625,5906.0,164623.0,3461.002001953125,10870.693652343747,2295.586181640625,30.745887756347656
CBPD0215,1,rest,2,MNI152NLin6Asym,preproc,0.08720564012372672,0.05465304888157894,0.1688849999999999,247.11698989402828,46.07756071884205,0,0,0.30524444066125145,-0.33790038778746245,0.9512536192152676,0.9439057945035816,0.987183094637214,0.9373770471957176,0.92063672350557,0.984947421981004,sub-CBPD0215_ses-01_task-rest_run-02_bold,0.005316928104575163,0.005239161830065359,0,44.17349605789477,1.380904243552632,1.0488545203289474,0.5517539650289727,720.2166748046875,0.10601767012560348,0,0.0,3.158738388949736,2.799265166849206,3.5216199999999995,3.1553299999999997,0.00459563,-0.011835030280053616,0.05747077241539955,153,96,96,75,2.2682804968742665,2.0,1.9999998807907104,2.0,2.0,37.58225702948996,60.3215446472168,393.5426025390625,233.8104553222656,392945.0,177.78431701660156,1279.8444824218745,515.0919189453125,0.27092934378519073,2963.0625,7250.6103515625,6710.11767578125,200087.0,3427.9215576171882,12710.873144531248,2958.232421875,45.81262969970703
CBPD0187,1,rest,2,MNI152NLin6Asym,preproc,0.2720378935488887,0.07270533735714284,0.21531199999999998,237.29349728257512,50.83006999678726,39,0,0.8425349219963059,0.3580597165390137,0.9365999106042932,0.930046963195142,0.9840491811460274,0.923587485626106,0.9036036011712452,0.9859268995929444,sub-CBPD0187_ses-01_task-rest_run-02_bold,0.009444833333333336,0.00987150688888889,0,48.5106376031285,1.2206436156983242,1.1339661910614522,0.5104315683593484,607.243408203125,0.2895966897585905,11,6.111111111111112,3.23082,2.946175,3.4999849999999997,3.2463,0.00829049,-0.005743442103266716,0.04115808755159378,180,96,96,75,2.2819283861474435,2.0,2.0,2.0,2.0,24.756447566878627,61.65979385375977,382.0553894042969,219.5166778564453,450524.0,166.67861328125,1291.8969604492167,481.283935546875,1.4387305410461773,2042.7291259765625,6203.0732421875,5724.99462890625,150313.0,3080.454541015625,11291.08828125,2508.832275390625,34.12927627563477
CBPD0141,1,rest,1,MNI152NLin6Asym,preproc,0.4165938550547945,0.11158584893617024,0.172815,371.37679053349103,119.54542212173858,51,0,0.8454984738931836,0.034500037168096284,0.957031535012608,0.9520719067998474,0.9863431135244436,0.9451525341328041,0.9305325149897832,0.9891960651289008,sub-CBPD0141_ses-01_task-rest_run-01_bold,0.007765205479452054,0.014832439178082187,0,70.62606687855173,1.3214731588275856,1.014259019586207,0.4968107336063489,769.0562133789062,0.4342265245857582,13,8.904109589041097,3.484351666666667,3.1730650000000002,3.5071550000000005,3.7728349999999997,0.00844038,-0.0162244401872158,0.0572340153157711,146,96,96,75,2.0260908354983997,2.0,2.0,2.0,2.0,33.85087605881862,54.77504348754883,370.6353149414063,215.53424072265625,445743.0,167.7260284423828,1170.6637329101559,495.8956298828125,2.5789995651021504,2357.286865234375,7111.00146484375,6305.095703125,155805.0,3690.835693359375,13562.579296875,3111.941162109375,29.415542602539066
CBPD0202,1,rest,1,MNI152NLin6Asym,preproc,0.3824726283265306,0.06982565859374999,0.189055,291.6142245693265,90.53460362617844,67,0,0.7680518156651632,0.2465991535779286,0.9474743346556556,0.941520562515192,0.9876546068321056,0.9307221444288858,0.9124550701589941,0.9864060379918588,sub-CBPD0202_ses-01_task-rest_run-01_bold,0.007271275510204081,0.014340771428571429,0,56.59812762938466,1.179606800358974,0.9744089476410256,0.5254278871946932,580.1279907226562,0.4205280113903019,18,9.183673469387756,3.3999750686626675,3.122985,3.621035,3.4559052059880018,0.00996268,-0.012505974620580671,0.0520697832107544,196,96,96,75,2.178926746567616,2.0,2.0,2.0,1.9999998807907104,27.31491792516676,74.17549133300781,456.4851989746094,233.87754821777344,441171.0,170.5663299560547,1651.9566040039062,644.851318359375,1.6331481989031422,2241.997314453125,6517.6826171875,5944.2958984375,157885.0,3157.084619140625,11906.597851562496,2728.07568359375,29.2235107421875
CBPD0204,1,rest,1,MNI152NLin6Asym,preproc,0.14248889959487088,0.06453491942857141,0.18698900000000002,224.23863296193255,45.523114146815345,15,0,0.5027760865436164,0.12398681297397925,0.956164018520369,0.9497792039610308,0.9829255973801996,0.9411330458872632,0.9252657199033288,0.9838280189959294,sub-CBPD0204_ses-01_task-rest_run-01_bold,0.0024559615384615392,0.004825032692307692,0,43.30472051580646,1.309333721870968,1.0135377551612903,0.5471446017275274,703.2623291015625,0.13563993697597032,1,0.6410256410256411,3.1942950646965738,2.925615,3.400985,3.2562851940897213,0.017657,-0.016330784186720848,0.046443719416856766,156,96,96,75,2.447665001396161,2.0,2.0,2.0,1.9999998807907104,27.695710101922394,60.91975784301758,397.9543151855469,226.3397521972656,408524.0,173.89744567871094,1316.7583312988256,520.508056640625,0.7215149859774361,2465.3056640625,6796.28369140625,6390.1025390625,186806.0,3323.2115478515625,11666.460205078125,2610.686279296875,50.31106948852539
CBPD0152,1,rest,2,MNI152NLin6Asym,preproc,0.2129646549302322,0.08736207583892615,0.187336,228.1083771416204,44.95143114404632,22,0,0.7919748800094072,0.09234620106433514,0.940866433368262,0.9351300297235872,0.9855929665717128,0.9270336903811982,0.9079759451205516,0.9876992876526458,sub-CBPD0152_ses-01_task-rest_run-02_bold,0.005453139534883721,0.006212943837209302,0,41.247585274269,1.18065153362573,1.0075766563742679,0.4920405455489037,714.6732177734375,0.21386894244793567,3,1.7441860465116281,3.1867,2.9807200000000003,3.2584049999999998,3.320975,0.011404700000000002,-0.004259604960680008,0.026758702471852303,172,96,96,75,2.222952221368751,2.0,2.0,2.0,2.0,26.658236429660697,56.12338256835938,378.2103576660156,220.36045837402344,461007.0,171.56569366455082,1272.3644775390594,496.2648315429688,1.483403048037708,2302.24853515625,6898.796875,6258.93017578125,141952.0,3548.8281127929686,12529.238671875,2815.583740234375,42.89958190917969
CBPD0218,1,rest,2,MNI152NLin6Asym,preproc,0.4316163966451611,0.10594771063829783,0.18879200000000002,365.79446469545934,519.1621714441427,60,0,0.8423474894695058,0.140073481286898,0.9569675526117212,0.9506049165140672,0.9630382381906706,0.9499193457628392,0.9358797508685724,0.9663246268656716,sub-CBPD0218_ses-01_task-rest_run-02_bold,0.014444610389610387,0.011300277532467536,1,66.75784246915036,1.4283632331372549,1.1254881496732028,0.5247535763356146,620.5867309570312,0.4626302885886152,18,11.688311688311687,3.4042134041719683,3.150775,3.49644,3.565425212515903,0.00902088,-0.02047784626483917,0.03438909724354744,154,96,96,75,2.0507105577656235,2.0,2.0,2.0,1.9999998807907104,56.13390760680677,85.48551940917969,423.6061096191406,247.23052978515625,422018.0,174.16883850097656,1278.8279602050754,577.5146484375,1.4934204427834017,2672.2841796875,7261.92333984375,6530.93505859375,174429.0,3467.087060546876,13577.2857421875,3184.708984375,32.241539001464844
CBPD0120,1,rest,1,MNI152NLin6Asym,preproc,0.1166749462741663,0.04977899463636363,0.19375499999999998,202.0600370761924,46.531583996482716,19,0,0.8047107346740089,0.4156851329617651,0.9270759395810824,0.9176306510082801,0.9805818676656844,0.9135951184352136,0.8909262201406379,0.9808344640434192,sub-CBPD0120_ses-01_task-rest_run-01_bold,0.0036042500000000007,0.0043655205833333325,0,36.26544591673639,1.2192971541004178,1.0291075762343096,0.5335162542482835,698.6807861328125,0.1467522382696606,1,0.4166666666666667,3.2374384019147397,2.863155,3.3973449999999996,3.451815205744219,0.0228748,-0.02732156217098236,0.05911796912550926,240,96,96,75,2.075024415317656,2.0,2.0,2.0,1.9999998807907104,31.19143333542441,59.60680389404297,420.72601318359375,235.1791839599609,410673.0,183.0333404541016,1369.3825927734372,533.5814208984375,1.2173634686936463,2814.7392578125,7357.4755859375,6665.8505859375,184751.0,3479.2022705078125,13690.513671875,3212.41162109375,46.45783996582031
CBPD0126,1,rest,1,MNI152NLin6Asym,preproc,0.08538724247725124,0.05090644004761904,0.120554,194.79170219302662,33.32171661590601,0,0,0.2747260967965081,-0.05972747049081323,0.9450055708288074,0.937505199835274,0.9833934065934066,0.9358824938455004,0.9188175910022636,0.9857064111261872,sub-CBPD0126_ses-01_task-rest_run-01_bold,0.0007386255924170616,0.00437211654028436,0,40.27779246752379,1.242919103904762,0.9857480879047612,0.5519945469833584,493.18115234375,0.09220913195529157,0,0.0,3.2332183333333333,3.028795,3.372615,3.2982449999999996,0.00812029,-0.012088948860764505,0.05094609409570694,211,96,96,75,2.0798230819583874,2.0,2.0,2.0,2.0,21.58370136112455,81.70474243164062,490.4168701171875,250.9004821777344,407895.0,178.8483428955078,1813.131323242186,686.3621215820312,1.3530110811291047,2471.1298828125,6535.97509765625,5984.3505859375,185600.0,2939.215649414063,12242.509228515624,2877.32861328125,46.9205322265625
CBPD0194,1,rest,1,MNI152NLin6Asym,preproc,0.5779482092511843,0.107516342,0.223375,363.6238872071061,99.52525076778498,110,0,0.7293620336550971,0.07789372818858703,0.9545003087612136,0.9490630261726748,0.9801074047089712,0.940165340376136,0.9238742002383228,0.9796132971506106,sub-CBPD0194_ses-01_task-rest_run-01_bold,0.00657218009478673,0.026045968104265405,0,70.84820507623806,1.1258800549047616,0.9692569723809524,0.5067260471752055,695.157470703125,0.5991683347779626,23,10.90047393364929,3.3916450000000005,3.0979,3.59024,3.486795,0.0130281,-0.01603831723332405,0.04388841986656189,211,96,96,75,2.266608313035164,2.0,2.0,2.0,2.0,32.061334436895606,53.29637908935547,349.23138427734375,213.57347106933597,444483.0,165.56398010253906,1092.164477539062,434.335205078125,2.461695046892668,2160.713134765625,6469.75341796875,5959.44091796875,155885.0,3311.8635742187507,11548.2015625,2629.224365234375,21.31073760986328
