H_all113,H_all114,H_all126,H_all125,H_all97,H_all98,H_all122,H_all121,H_all103,H_all104,H_all110,H_all109,H_all112,H_all111,H_all144,H_all143,H_all153,H_all154,H_all25,H_all26,H_all88,H_all87,H_all3,H_all4,H_all102,H_all101,H_all132,H_all133,H_all134,H_all131,H_all141,H_all142,H_all99,H_all100,H_all92,H_all91,Age,Sex
1.51830481108908,1.53570845168318,1.60313433544982,1.58367833776968,1.52276285945911,1.54599014762867,1.5374995552314,1.60207236325719,1.59332397875964,1.57116582722434,1.57230777958065,1.56227046069054,1.6113740120585,1.62120100163206,1.53296273829081,1.55902070337584,1.53558898739706,1.49688706402256,1.54269990249282,1.53942978193568,1.5338236350744,1.48532294740844,1.61245328334576,1.64320066411685,1.560231973515,1.58193157719413,1.54616525060241,1.62143915473045,1.64780714620431,1.66307965510261,1.57063749826241,1.6041120210809,1.58386825009903,1.57557615944757,1.58920266946975,1.64314948027628,2.9,Female
1.58355268235279,1.59156109456831,1.59164543775826,1.56841409531144,1.59601225521167,1.61362423076895,1.58811057086855,1.58309156829517,1.62692277104631,1.56143989662518,1.55576806442251,1.60479806428965,1.54395647498024,1.50449506049708,1.60865465762782,1.57611651454066,1.49950424401119,1.52306737271607,1.5708086842623,1.55445478347932,1.52369128173647,1.55601975571049,1.61289748298432,1.64138981404753,1.5764238101172,1.63143691151907,1.58530300519844,1.57889603042663,1.57213915744224,1.67512845210893,1.58928626910303,1.58440004829671,1.60002584126273,1.60678041611419,1.595221952301,1.57177706549873,2.9,Female
1.63085998789288,1.63885167431072,1.55704763019343,1.54158820766895,1.5844464093033,1.61451708110384,1.62289593429992,1.61415813649623,1.63518427311043,1.59281903619074,1.65001763199252,1.62061148938234,1.59712037395068,1.57535328623834,1.61361757838935,1.6468839759661,1.55354123678501,1.50508450798065,1.54846504251421,1.57289145324299,1.53709861247759,1.51146203809735,1.63403812328057,1.58683373804497,1.58997734205699,1.61740935763547,1.61698476030832,1.61632631721925,1.63856735441053,1.64683479174086,1.64878912068573,1.59328853065358,1.67413904458314,1.62216279515652,1.6285495350727,1.62457835103568,2.9,Female
1.58960821602893,1.56637145100756,1.55509540107313,1.60715264016297,1.6072424852343,1.5858424152923,1.56872731986641,1.59410217002013,1.61934906340219,1.56616447459859,1.5454045873408,1.59167769110749,1.54800802490931,1.59737069660571,1.57144661284023,1.55735920703478,1.62254744907565,1.58556395393712,1.61643812059261,1.59261862554536,1.53453854356065,1.62652881760978,1.50821580043687,1.53275288290775,1.55798702842511,1.57800792573652,1.59406057688316,1.59957384606785,1.59815815128241,1.58478991530621,1.57684268167968,1.6063403393151,1.63304302237981,1.63226105449485,1.60599635361188,1.60300087979253,3.0,Female
1.62858938268982,1.62928998218774,1.59454145313928,1.65774946626137,1.60009238176608,1.63895546546377,1.66300467103897,1.65739417869222,1.65477253389679,1.58838792547466,1.64288372512038,1.67292725560602,1.54717154803967,1.57341748220649,1.62773059407724,1.63885446489015,1.68826746568032,1.60361643741328,1.57272317889944,1.57493262088644,1.56820017792142,1.56078762103552,1.64489416858771,1.62385614872471,1.59318830476482,1.62333395072121,1.57637531609113,1.63565061812273,1.62107649333403,1.55447049599638,1.55179981057258,1.60911725203108,1.61787842003522,1.62811730666483,1.60706181525668,1.65847654311585,3.0,Male
1.57329417647201,1.56221832951118,1.55828868200194,1.48447838608453,1.62440924809717,1.61037572436032,1.59180252656715,1.62140402586716,1.58316808267189,1.5899286408645,1.60115379780914,1.61043915669306,1.60741457493061,1.59440618771592,1.56402602102676,1.57975313847265,1.51849825769798,1.52250966959232,1.52357825785986,1.56151763496288,1.55621920974992,1.53950164384702,1.53842447828944,1.58689307098105,1.65109413617067,1.64365574811344,1.59051693740836,1.66235056764901,1.66210610486407,1.61363772967353,1.54688707831956,1.55733064027722,1.54651161564206,1.5623575664213,1.59600823907276,1.59637153995805,3.0,Male
1.54516583370729,1.58256310385981,1.54783341040136,1.55622649731184,1.51663483073268,1.60568759686333,1.55765915530335,1.57094096883089,1.54634698530955,1.63436358400665,1.54586843097972,1.6174323116719,1.57099946188998,1.56420368397729,1.60293326896275,1.59463281050171,1.60339354206236,1.57089977834474,1.56783438136789,1.57985367397122,1.58253991119269,1.5919476384681,1.55964130042079,1.65125506244123,1.59303628858824,1.59409965800566,1.546844611311,1.57334014924079,1.62326325710425,1.55171682361401,1.56341259365858,1.56216294020943,1.59206555983578,1.51924190503963,1.53083745878539,1.49404923556792,2.0,Male
1.59190255744704,1.62218130790709,1.57790232852259,1.59119810873053,1.62167244488316,1.55221069593171,1.62033127589713,1.6458145070625,1.5523389543503,1.55569445348085,1.55798865858808,1.60113192822774,1.60299123431308,1.54975771662826,1.53889137235274,1.62290432328658,1.59860979814392,1.57253689083065,1.58025690200508,1.50195475208459,1.51874412642092,1.61490777219388,1.59442288481723,1.61139908707872,1.60985194976196,1.5616168055732,1.56730986249499,1.56633992946315,1.57293655823132,1.60910677268951,1.57564994747179,1.56043688974836,1.59639061423077,1.52319019510876,1.58616255629221,1.50276549426141,2.0,Male
1.67386958268258,1.65639825204476,1.5840420981641,1.63006242095964,1.62144470095079,1.60408839911156,1.65876496262822,1.6080720047612,1.57309060588298,1.60479426268436,1.62198369079794,1.59222444455416,1.60734407743946,1.55642395969711,1.59529193325676,1.57959015169314,1.52026167134125,1.55254109155703,1.55157062362638,1.57233733362992,1.5278113860906,1.53154256481184,1.63244070963937,1.55166683021293,1.52981950612036,1.57405604938802,1.58803963800407,1.57259517036268,1.56346117088564,1.6114116305928,1.56506679613411,1.58034603923001,1.5526072030536,1.66069329444055,1.59206757148394,1.57299175518995,2.0,Male
1.57856447752163,1.59191006272778,1.5686275136553,1.57650332689638,1.56729525972204,1.59531950303334,1.54904193830244,1.65889686664247,1.64651885106677,1.62055652743374,1.66523270747564,1.65771035051802,1.58394738936892,1.57831966500496,1.56390073738601,1.55123488518669,1.56815563119699,1.60152257008877,1.5662736850847,1.53376843453694,1.54333388295165,1.58004256379025,1.54081129474568,1.54187398630904,1.61954479987353,1.57334295794238,1.49267841275675,1.60607610345441,1.60718004258432,1.51575326249131,1.60260611860729,1.52683370440527,1.58312923978681,1.54170541882481,1.58442334923453,1.53684730272956,2.0,Male
